,geo_id,abbrv,Name,Code
0,0,AT,Austria,AT
1,1,BE,Belgium,BE
2,2,BG,Bulgaria,BG
3,3,CH,Switzerland,CH
4,4,CY,Cyprus,CY
5,5,CZ,Czech Republic,CZ
6,6,DE,Germany,DE
7,7,DK,Denmark,DK
8,8,EA19,Euro area - 19 countries (from 2015),EA19
9,9,EE,Estonia,EE
10,10,EL,Greece,EL
11,11,ES,Spain,ES
12,12,EU27_2020,European Union - 27 countries (from 2020),EU27_2020
13,13,FI,Finland,FI
14,14,FR,France,FR
15,15,HR,Croatia,HR
16,16,HU,Hungary,HU
17,17,IE,Ireland,IE
18,18,IS,Iceland,IS
19,19,IT,Italy,IT
20,20,LT,Lithuania,LT
21,21,LU,Luxembourg,LU
22,22,LV,Latvia,LV
23,23,MT,Malta,MT
24,24,NL,Netherlands,NL
25,25,NO,Norway,NO
26,26,PL,Poland,PL
27,27,PT,Portugal,PT
28,28,RO,Romania,RO
29,29,SE,Sweden,SE
30,30,SI,Slovenia,SI
31,31,SK,Slovakia,SK
32,32,TR,Turkey,TR
33,33,UK,United Kingdom,UK
